scenario_id,weather,device,competition,forecasting,probability,revenue_multiplier,revenue_per_vehicle,weather_events,grid_events,device_uptime,price_multiplier,saf_multiplier
mild_summer_degraded_uptime_high_competition_good_accuracy,mild_summer,degraded_uptime,high_competition,good_accuracy,0.0006000000000000001,0.14281785,21.335558611499998,10,10,0.8,0.85,0.9
harsh_winter_crisis_high_uptime_low_competition_critical_miss,harsh_winter_crisis,high_uptime,low_competition,critical_miss,0.0006000000000000001,0.9266009999999998,138.42492338999995,60,60,0.93,1.15,0.4
mild_summer_degraded_uptime_high_competition_excellent_accuracy,mild_summer,degraded_uptime,high_competition,excellent_accuracy,0.0006000000000000001,0.15868649999999998,23.706176234999994,10,10,0.8,0.85,1.0
mild_summer_degraded_uptime_low_competition_good_accuracy,mild_summer,degraded_uptime,low_competition,good_accuracy,0.0006000000000000001,0.19322414999999998,28.865755768499994,10,10,0.8,1.15,0.9
harsh_winter_crisis_high_uptime_high_competition_critical_miss,harsh_winter_crisis,high_uptime,high_competition,critical_miss,0.0006000000000000001,0.684879,102.31407381,60,60,0.93,0.85,0.4
mild_winter_low_demand_high_uptime_low_competition_critical_miss,mild_winter_low_demand,high_uptime,low_competition,critical_miss,0.00045,0.213831,31.944213089999995,20,20,0.93,1.15,0.4
mild_summer_high_uptime_normal_competition_critical_miss,mild_summer,high_uptime,normal_competition,critical_miss,0.00045,0.086772,12.962869079999999,10,10,0.93,1.0,0.4
mild_summer_high_uptime_high_competition_poor_accuracy,mild_summer,high_uptime,high_competition,poor_accuracy,0.00045,0.12907334999999998,19.282267756499994,10,10,0.93,0.85,0.7
mild_summer_high_uptime_low_competition_poor_accuracy,mild_summer,high_uptime,low_competition,poor_accuracy,0.00045,0.17462864999999997,26.087774023499993,10,10,0.93,1.15,0.7
mild_winter_low_demand_high_uptime_high_competition_critical_miss,mild_winter_low_demand,high_uptime,high_competition,critical_miss,0.00045,0.158049,23.610940109999998,20,20,0.93,0.85,0.4
harsh_winter_crisis_critical_failure_high_competition_poor_accuracy,harsh_winter_crisis,critical_failure,high_competition,poor_accuracy,0.0003000000000000001,0.77388675,115.61094158249999,60,60,0.6,0.85,0.7
harsh_winter_crisis_critical_failure_low_competition_poor_accuracy,harsh_winter_crisis,critical_failure,low_competition,poor_accuracy,0.0003000000000000001,1.0470232499999998,156.41480331749997,60,60,0.6,1.15,0.7
harsh_winter_crisis_critical_failure_normal_competition_critical_miss,harsh_winter_crisis,critical_failure,normal_competition,critical_miss,0.0003000000000000001,0.5202600000000001,77.7216414,60,60,0.6,1.0,0.4
harsh_winter_crisis_degraded_uptime_low_competition_critical_miss,harsh_winter_crisis,degraded_uptime,low_competition,critical_miss,0.00030000000000000003,0.797433,119.12851586999999,60,60,0.8,1.15,0.4
normal_winter_critical_failure_high_competition_critical_miss,normal_winter,critical_failure,high_competition,critical_miss,0.00030000000000000003,0.22678000000000004,33.8786642,40,40,0.6,0.85,0.4
harsh_winter_crisis_degraded_uptime_high_competition_critical_miss,harsh_winter_crisis,degraded_uptime,high_competition,critical_miss,0.00030000000000000003,0.5894069999999999,88.05151172999997,60,60,0.8,0.85,0.4
normal_winter_critical_failure_low_competition_critical_miss,normal_winter,critical_failure,low_competition,critical_miss,0.00030000000000000003,0.30682000000000004,45.8358398,40,40,0.6,1.15,0.4
mild_summer_baseline_uptime_low_competition_critical_miss,mild_summer,baseline_uptime,low_competition,critical_miss,0.00025000000000000006,0.09659999999999999,14.431073999999997,10,10,0.9,1.15,0.4
mild_summer_baseline_uptime_high_competition_critical_miss,mild_summer,baseline_uptime,high_competition,critical_miss,0.00025000000000000006,0.0714,10.666446,10,10,0.9,0.85,0.4
mild_summer_critical_failure_normal_competition_poor_accuracy,mild_summer,critical_failure,normal_competition,poor_accuracy,0.00022500000000000002,0.098049,14.647540109999998,10,10,0.6,1.0,0.7
mild_winter_low_demand_degraded_uptime_low_competition_critical_miss,mild_winter_low_demand,degraded_uptime,low_competition,critical_miss,0.000225,0.18402300000000002,27.49119597,20,20,0.8,1.15,0.4
mild_summer_degraded_uptime_high_competition_poor_accuracy,mild_summer,degraded_uptime,high_competition,poor_accuracy,0.000225,0.11108054999999997,16.594323364499996,10,10,0.8,0.85,0.7
mild_winter_low_demand_critical_failure_low_competition_poor_accuracy,mild_winter_low_demand,critical_failure,low_competition,poor_accuracy,0.000225,0.24162074999999997,36.09572384249999,20,20,0.6,1.15,0.7
mild_winter_low_demand_critical_failure_high_competition_poor_accuracy,mild_winter_low_demand,critical_failure,high_competition,poor_accuracy,0.000225,0.17858925,26.679448057499997,20,20,0.6,0.85,0.7
mild_winter_low_demand_critical_failure_normal_competition_critical_miss,mild_winter_low_demand,critical_failure,normal_competition,critical_miss,0.000225,0.12006000000000001,17.9357634,20,20,0.6,1.0,0.4
mild_winter_low_demand_degraded_uptime_high_competition_critical_miss,mild_winter_low_demand,degraded_uptime,high_competition,critical_miss,0.000225,0.13601700000000003,20.319579630000003,20,20,0.8,0.85,0.4
mild_summer_degraded_uptime_normal_competition_critical_miss,mild_summer,degraded_uptime,normal_competition,critical_miss,0.000225,0.074676,11.15584764,10,10,0.8,1.0,0.4
mild_summer_degraded_uptime_low_competition_poor_accuracy,mild_summer,degraded_uptime,low_competition,poor_accuracy,0.000225,0.15028545,22.451143375499996,10,10,0.8,1.15,0.7
mild_summer_critical_failure_high_competition_good_accuracy,mild_summer,critical_failure,high_competition,good_accuracy,0.00020000000000000006,0.10715355,16.0076688345,10,10,0.6,0.85,0.9
mild_summer_critical_failure_high_competition_excellent_accuracy,mild_summer,critical_failure,high_competition,excellent_accuracy,0.00020000000000000006,0.1190595,17.786298704999997,10,10,0.6,0.85,1.0
mild_summer_critical_failure_low_competition_excellent_accuracy,mild_summer,critical_failure,low_competition,excellent_accuracy,0.00020000000000000006,0.1610805,24.063815894999998,10,10,0.6,1.15,1.0
mild_summer_critical_failure_low_competition_good_accuracy,mild_summer,critical_failure,low_competition,good_accuracy,0.00020000000000000006,0.14497245,21.657434305499997,10,10,0.6,1.15,0.9
mild_summer_high_uptime_low_competition_critical_miss,mild_summer,high_uptime,low_competition,critical_miss,0.00015000000000000001,0.09978779999999998,14.907299441999996,10,10,0.93,1.15,0.4
mild_summer_high_uptime_high_competition_critical_miss,mild_summer,high_uptime,high_competition,critical_miss,0.00015000000000000001,0.0737562,11.018438717999999,10,10,0.93,0.85,0.4
harsh_winter_crisis_critical_failure_high_competition_critical_miss,harsh_winter_crisis,critical_failure,high_competition,critical_miss,0.00010000000000000003,0.442221,66.06339519,60,60,0.6,0.85,0.4
harsh_winter_crisis_critical_failure_low_competition_critical_miss,harsh_winter_crisis,critical_failure,low_competition,critical_miss,0.00010000000000000003,0.598299,89.37988761,60,60,0.6,1.15,0.4
mild_summer_critical_failure_high_competition_poor_accuracy,mild_summer,critical_failure,high_competition,poor_accuracy,7.500000000000002e-05,0.08334164999999999,12.450409093499998,10,10,0.6,0.85,0.7
mild_summer_critical_failure_low_competition_poor_accuracy,mild_summer,critical_failure,low_competition,poor_accuracy,7.500000000000002e-05,0.11275634999999998,16.844671126499996,10,10,0.6,1.15,0.7
mild_summer_critical_failure_normal_competition_critical_miss,mild_summer,critical_failure,normal_competition,critical_miss,7.500000000000002e-05,0.056028,8.37002292,10,10,0.6,1.0,0.4
mild_winter_low_demand_critical_failure_low_competition_critical_miss,mild_winter_low_demand,critical_failure,low_competition,critical_miss,7.500000000000001e-05,0.138069,20.626127909999997,20,20,0.6,1.15,0.4
mild_winter_low_demand_critical_failure_high_competition_critical_miss,mild_winter_low_demand,critical_failure,high_competition,critical_miss,7.500000000000001e-05,0.102051,15.245398889999999,20,20,0.6,0.85,0.4
mild_summer_degraded_uptime_low_competition_critical_miss,mild_summer,degraded_uptime,low_competition,critical_miss,7.500000000000001e-05,0.08587739999999999,12.829224785999997,10,10,0.8,1.15,0.4
mild_summer_degraded_uptime_high_competition_critical_miss,mild_summer,degraded_uptime,high_competition,critical_miss,7.500000000000001e-05,0.06347459999999999,9.482470493999998,10,10,0.8,0.85,0.4
mild_summer_critical_failure_low_competition_critical_miss,mild_summer,critical_failure,low_competition,critical_miss,2.5000000000000008e-05,0.0644322,9.625526357999998,10,10,0.6,1.15,0.4
mild_summer_critical_failure_high_competition_critical_miss,mild_summer,critical_failure,high_competition,critical_miss,2.5000000000000008e-05,0.0476238,7.1145194819999995,10,10,0.6,0.85,0.4
