vehicle_id,vehicle_class,make_model,battery_capacity_kwh,usable_battery_kwh,vehicle_max_ac_kw,home_cp_type_kw,effective_cp_max_kw,charging_efficiency,cp_min_kw,base_efficiency_wh_km,seasonal_efficiency_factor,season,daily_mileage_km,plug_in_time,plug_out_time,return_soc,energy_to_charge_kwh,target_soc,required_charging_hours,flexibility_margin_hours,behavioral_profile,weekday_predictability,weekend_predictability,driver_reliability,opt_out_probability,uses_public_charging,postcode_zone,historical_participation_rate,historical_success_rate,ws1_validated,notes,charging_window_hours,plug_in_hour
EV084,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,70.0,17:01,07:10,0.69,14.43,0.941,2.1,12.05,reliable,0.95,0.66,0.95,0.05,False,LONDON,0.27,0.92,True,"reliable, winter, LONDON, WS1-pattern",14.15,17.016666666666666
EV085,Premium,Hyundai Ioniq 5,72.6,70.0,11.0,7.4,7.4,0.93,1.4,168,1.05,spring,48.6,17:14,08:00,0.82,6.54,0.914,0.95,13.82,reliable,0.95,0.64,0.95,0.05,False,LEEDS,0.5,0.97,True,"reliable, spring, LEEDS, WS1-pattern",14.766666666666667,17.233333333333334
EV086,Van,Nissan e-NV200,40.0,38.0,7.4,11.0,7.4,0.93,1.4,200,1.05,spring,79.5,19:47,07:10,0.507,14.08,0.877,2.05,9.34,late_arrival,0.75,0.7,0.8,0.15,False,LONDON,0.0,0.0,True,"late_arrival, spring, LONDON, WS1-pattern",11.383333333333333,19.783333333333335
EV087,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,77.5,16:32,07:16,0.708,11.45,0.907,1.66,13.07,reliable,0.95,0.68,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, summer, BIRMINGHAM, WS1-pattern",14.733333333333333,16.533333333333335
EV088,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.1,summer,85.7,17:27,07:31,0.816,4.27,0.889,0.62,13.45,reliable,0.95,0.62,0.95,0.05,True,LONDON,0.0,0.0,True,"reliable, summer, LONDON, WS1-pattern",14.066666666666666,17.45
EV089,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.26,winter,75.6,17:38,07:14,0.73,10.12,0.907,1.47,12.13,reliable,0.95,0.67,0.95,0.05,False,MANCHESTER,0.1,1.0,True,"reliable, winter, MANCHESTER, WS1-pattern",13.6,17.633333333333333
EV090,Premium,Hyundai Ioniq 5,72.6,70.0,11.0,7.4,7.4,0.93,1.4,168,1.26,winter,71.5,17:13,08:00,0.769,8.0,0.884,1.16,13.62,early_bird,0.9,0.67,0.98,0.03,False,MANCHESTER,0.0,0.0,True,"early_bird, winter, MANCHESTER, WS1-pattern",14.783333333333333,17.216666666666665
EV091,Car,Nissan Leaf e+,62.0,59.0,7.4,3.7,3.7,0.93,1.4,165,1.05,autumn,48.9,16:53,07:24,0.811,7.03,0.93,2.04,12.47,reliable,0.95,0.69,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, autumn, LONDON, WS1-pattern",14.516666666666667,16.883333333333333
EV092,Car,Volkswagen ID.3,58.0,55.0,11.0,7.4,7.4,0.93,1.4,155,1.05,autumn,69.8,16:30,07:39,0.733,10.37,0.922,1.51,13.64,reliable,0.95,0.65,0.95,0.05,False,LEEDS,0.0,0.0,True,"reliable, autumn, LEEDS, WS1-pattern",15.15,16.5
EV093,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,spring,57.5,17:22,07:37,0.815,5.79,0.913,0.84,13.41,reliable,0.95,0.66,0.95,0.05,False,BRISTOL,0.51,0.96,True,"reliable, spring, BRISTOL, WS1-pattern",14.25,17.366666666666667
EV094,Car,Nissan Leaf e+,62.0,59.0,7.4,7.4,7.4,0.93,1.4,165,1.05,autumn,72.8,17:43,07:14,0.724,11.85,0.925,1.72,11.79,reliable,0.95,0.6,0.95,0.05,False,BRISTOL,0.12,0.95,True,"reliable, autumn, BRISTOL, WS1-pattern",13.516666666666667,17.716666666666665
EV095,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,66.5,16:43,08:00,0.717,11.04,0.91,1.6,13.68,reliable,0.95,0.66,0.95,0.05,False,LEEDS,0.17,0.89,True,"reliable, summer, LEEDS, WS1-pattern",15.283333333333333,16.716666666666665
EV096,Car,MG5 EV Long Range,61.1,57.4,11.0,7.4,7.4,0.93,1.4,160,1.1,summer,63.5,16:40,07:28,0.744,8.71,0.896,1.27,13.53,reliable,0.95,0.64,0.95,0.05,False,BIRMINGHAM,0.0,0.0,True,"reliable, summer, BIRMINGHAM, WS1-pattern",14.8,16.666666666666668
EV097,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.05,spring,85.2,17:17,07:05,0.55,13.34,0.901,1.94,11.86,reliable,0.95,0.66,0.95,0.05,True,LONDON,0.0,0.0,True,"reliable, spring, LONDON, WS1-pattern",13.8,17.283333333333335
EV098,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.05,spring,100.9,20:04,07:26,0.533,14.45,0.913,2.1,9.27,late_arrival,0.75,0.62,0.8,0.15,True,LEEDS,0.21,0.99,True,"late_arrival, spring, LEEDS, WS1-pattern",11.366666666666667,20.066666666666666
EV099,Van,Nissan e-NV200,40.0,38.0,7.4,7.4,7.4,0.93,1.4,200,1.1,summer,75.4,16:53,07:37,0.577,10.87,0.863,1.58,13.15,reliable,0.95,0.63,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, summer, LONDON, WS1-pattern",14.733333333333333,16.883333333333333
EV100,Van,Renault Kangoo E-Tech,45.0,42.8,7.4,7.4,7.4,0.93,1.4,190,1.1,summer,56.6,17:07,07:31,0.629,11.96,0.908,1.74,12.66,reliable,0.95,0.66,0.95,0.05,False,LONDON,0.0,0.0,True,"reliable, summer, LONDON, WS1-pattern",14.4,17.116666666666667
